INFO 2021-11-24 22:00:03,782: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 22:00:04,633: 939 entries were already downloaded
INFO 2021-11-24 23:00:02,675: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 23:00:03,880: 939 entries were already downloaded
INFO 2021-11-24 23:00:03,881: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 23:00:05,010: 939 entries were already downloaded
INFO 2021-11-25 00:00:02,023: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 00:00:03,207: 939 entries were already downloaded
INFO 2021-11-25 00:00:03,208: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 00:00:04,031: 939 entries were already downloaded
INFO 2021-11-25 01:00:02,625: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 01:00:03,791: 939 entries were already downloaded
INFO 2021-11-25 01:00:03,792: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 01:00:04,921: 939 entries were already downloaded
INFO 2021-11-25 02:00:02,714: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 03:00:02,676: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 03:00:04,138: 879 entries were already downloaded
INFO 2021-11-25 03:00:04,138: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 03:00:05,591: 878 entries were already downloaded
INFO 2021-11-25 04:00:02,600: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 04:00:04,072: 939 entries were already downloaded
INFO 2021-11-25 04:00:04,073: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 04:00:05,200: 939 entries were already downloaded
INFO 2021-11-25 05:00:02,694: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-25 05:00:03,886: 939 entries were already downloaded
INFO 2021-11-25 05:00:03,887: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-25 05:00:05,272: 940 entries were already downloaded
INFO 2021-11-25 08:16:14,861: Updating SPOT_BTC_USDT_1m.csv
